original_language,new_language
Spanish,
Chinese,
Urdu,
Mandarin,Chinese
Russian,
Korean,
Burmese,Other languages of Asia
Japanese,
Tibetan,Other languages of Asia
Vietnamese,
French,
Cantonese,Chinese
German,
Romanian,Other Indo-European languages
Pashto,Other Indo-European languages
Tagalog,Tagalog (incl. Filipino)
Farsi,"Persian (incl. Farsi, Dari)"
Arabic,
Punjabi,
Portuguese,
Marathi,"Nepali, Marathi, or other Indic languages"
Gujarati,
Hebrew,
India N.E.C.,"Nepali, Marathi, or other Indic languages"
Min Nan Chinese,Chinese
Konkani,"Nepali, Marathi, or other Indic languages"
Ukrainian,Ukrainian or other Slavic languages
Thai,"Thai, Lao, or other Tai-Kadai languages"
Polish,
Nepali,"Nepali, Marathi, or other Indic languages"
Dutch,"Yiddish, Pennsylvania Dutch or other West Germanic languages"
Turkish,Other languages of Asia
Swedish,Other Indo-European languages
Filipino,Tagalog (incl. Filipino)
Swahili,"Swahili or other languages of Central, Eastern, and Southern Africa"
Khmer,
Indonesian,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Bulgarian,Ukrainian or other Slavic languages
Afrikaans,"Yiddish, Pennsylvania Dutch or other West Germanic languages"
Other languages of Asia,
Armenian,
Amharic,"Amharic, Somali, or other Afro-Asiatic languages"
Italian,
Norwegian,Scandinavian langauges
Hungarian,Other and unspecified languages
Hmong,
Czech,Ukrainian or other Slavic languages
Greek,
Serbian,Serbo-Croatian
Pakistan N.E.C.,"Nepali, Marathi, or other Indic languages"
Somali,"Amharic, Somali, or other Afro-Asiatic languages"
Hindi,Hindi
Ilocano,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Lao,"Thai, Lao, or other Tai-Kadai languages"
Bosnian,Serbo-Croatian
Other Indo-Iranian languages,
Other Indo-European languages,
Bengali,
Danish,Scandinavian langauges
Samoan,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Oromo,
Slovak,Ukrainian or other Slavic languages
Telugu,
Hawaiian,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Cebuano,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Albanian,Other Indo-European languages
Tigrinya,"Amharic, Somali, or other Afro-Asiatic languages"
Other and unspecified languages,
Finnish,Other and unspecified languages
Yoruba,"Yoruba, Twi, Igbo, or other languages of Western Africa"
Serbocroatian,Serbo-Croatian
Ojibwa,Other Native North American languages
Malay,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Tamil,
Marshallese,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Lithuanian,Other Indo-European languages
Other Native North American languages,
Kurdish,Other Indo-European languages
Kannada,"Malayalam, Kannada, or other Dravidian languages"
Dari,"Persian (incl. Farsi, Dari)"
Other Eastern Malayo-Polynesian languages,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Kabuverdianu,Portuguese
Other Mande languages,
Iu Mien,Other languages of Asia
Croatian,Serbo-Croatian
Chamorro,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Other Afro-Asiatic languages,
Other Niger-Congo languages,
Other Philippine languages,
Swiss German,
Other Bantu languages,
Haitian,
Chin languages,
Igbo,"Yoruba, Twi, Igbo, or other languages of Western Africa"
Irish,Other Indo-European languages
Nilo-Saharan languages,
Mongolian,Other languages of Asia
Latvian,Other Indo-European languages
Akan (incl. Twi),"Yoruba, Twi, Igbo, or other languages of Western Africa"
Aleut languages,Other Native North American languages
Navajo,
Other Central and South American languages,
Fulah,
Wolof,"Yoruba, Twi, Igbo, or other languages of Western Africa"
Manding languages,
Other English-based Creole languages,
Other languages of Africa,
Jamaican Creole English,Other and unspecified languages
Gbe languages,
Malayalam,"Malayalam, Kannada, or other Dravidian languages"
Sinhala,"Nepali, Marathi, or other Indic languages"
Tongan,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Shona,
Chuukese,"Ilocano, Samoan, Hawaiian, or other Austronesian languages"
Karen languages,Other languages of Asia
Yiddish,"Yiddish, Pennsylvania Dutch or other West Germanic languages"
Ga,
Uto-Aztecan languages,
Ganda,"Swahili or other languages of Central, Eastern, and Southern Africa"
Kiowa-Tanoan languages (2016 or earlier),
Assyrian Neo-Aramaic,
Muskogean languages,
